year,day,goal,target_opportunity,from_x,from_y,to_x,to_y,distance_cells,scout_radius_cells,water_need_met,biomass_need_met,water_demand_mm_cells,water_consumed_mm_cells,biomass_demand_gm2_cells,biomass_energy_consumed_gm2_cells,condition,water_mm_cells,fresh_biomass_gm2_cells,dry_biomass_gm2_cells,residue_gm2_cells,captured_sediment_kgm2_cells,chitin_kg,opportunities,actions
1,1,TrackRainFront,RainFront,160,160,158,157,3.6055512428283691,10,1,1,0.0042886543087661266,0.0042886543087661266,0.098230041563510895,0.098230041563510895,1,0.043711341917514801,0.10000000149011612,0.4662143886089325,0.038100279867649078,4.5000004320172593E-05,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil,Read:ReadFlows:12|Migrate:Move:3.60555124|Migrate:CompactTrail:0.0042210049|Transform:ConsumeBiomass:0.0982300416|Transform:ConsumeBiomass:0.0555555522|Absorb:CollectSnow:0.00999999978|Transform:MeltSnow:0.00999999978|Absorb:CaptureDust:0.0450000018
1,2,ReturnMinerals,DepositionZone,158,157,162,157,4,10,1,1,0.00419999985024333,0.00419999985024333,0.10366892069578171,0.10366892069578171,1,0.049511343240737915,0.10000000149011612,0.30698990821838379,0.077941000461578369,0,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor,Read:ReadFlows:12|Migrate:Move:4|Migrate:CompactTrail:0.00289001199|Transform:ConsumeBiomass:0.103668921|Transform:ConsumeBiomass:0.0555555522|Absorb:CollectSnow:0.00999999978|Transform:MeltSnow:0.00999999978|Absorb:CaptureDust:0.0450000018|Return:ReturnSediment:9.00000086E-05
1,3,GatherBiomass,DryStandingBiomass,162,157,162,157,0,10,1,1,0.0034000000450760126,0.0034000000450760126,0.083141528069972992,0.083141528069972992,1,0.046111341565847397,0.10000000149011612,0.34384837746620178,0.10454628616571426,4.5000004320172593E-05,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor,Read:ReadFlows:12|Transform:ConsumeBiomass:0.0831415281|Absorb:HarvestDryBiomass:0.119999997|Absorb:CaptureDust:0.0450000018
1,4,ReturnMinerals,DepositionZone,162,157,166,157,4,10,1,1,0.00419999985024333,0.00419999985024333,0.10546547174453735,0.10546547174453735,1,0.04191134124994278,0.10000000149011612,0.35838291049003601,0.13829523324966431,0,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor,Read:ReadFlows:12|Migrate:Move:4|Migrate:CompactTrail:0.00130535243|Transform:ConsumeBiomass:0.105465472|Absorb:HarvestDryBiomass:0.119999997|Absorb:CaptureDust:0.0450000018|Return:ReturnSediment:9.00000086E-05
1,5,GatherBiomass,DryStandingBiomass,166,157,166,157,0,10,1,1,0.0034000000450760126,0.0034000000450760126,0.083051398396492004,0.083051398396492004,1,0.048511341214179993,0.10000000149011612,0.33977594971656799,0,4.5000004320172593E-05,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor,Read:ReadFlows:12|Transform:ConsumeBiomass:0.0830513984|Transform:ConsumeBiomass:0.0555555522|Absorb:CollectSnow:0.00999999978|Transform:MeltSnow:0.00999999978|Absorb:HarvestDryBiomass:0.119999997|Absorb:CaptureDust:0.0450000018|Return:ReturnOrganicMatter:0.171538338
1,6,ReturnMinerals,DepositionZone,166,157,170,157,4,10,1,1,0.00419999985024333,0.00419999985024333,0.10550437867641449,0.10550437867641449,1,0.044311340898275375,0.10000000149011612,0.35427156090736389,0.033761400729417801,0,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor,Read:ReadFlows:12|Migrate:Move:4|Migrate:CompactTrail:0.00120365003|Transform:ConsumeBiomass:0.105504379|Absorb:HarvestDryBiomass:0.119999997|Absorb:CaptureDust:0.0450000018|Return:ReturnSediment:9.00000086E-05
1,7,GatherBiomass,DryStandingBiomass,170,157,170,157,0,10,1,1,0.0034000000450760126,0.0034000000450760126,0.082959756255149841,0.082959756255149841,1,0.040911339223384857,0.10000000149011612,0.39131182432174683,0.06030852347612381,4.5000004320172593E-05,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor,Read:ReadFlows:12|Transform:ConsumeBiomass:0.0829597563|Absorb:HarvestDryBiomass:0.119999997|Absorb:CaptureDust:0.0450000018
1,8,ReturnMinerals,DepositionZone,170,157,174,157,4,10,1,1,0.00419999985024333,0.00419999985024333,0.10540042817592621,0.10540042817592621,1,0.046711340546607971,0.10000000149011612,0.3503558337688446,0.10070332884788513,0,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor,Read:ReadFlows:12|Migrate:Move:4|Migrate:CompactTrail:0.00120012707|Transform:ConsumeBiomass:0.105400428|Transform:ConsumeBiomass:0.0555555522|Absorb:CollectSnow:0.00999999978|Transform:MeltSnow:0.00999999978|Absorb:HarvestDryBiomass:0.119999997|Absorb:CaptureDust:0.0450000018|Return:ReturnSediment:9.00000086E-05
1,9,GatherBiomass,DryStandingBiomass,174,157,174,157,0,10,1,1,0.0034660394303500652,0.0034660394303500652,0.082834616303443909,0.082834616303443909,1,0.043245300650596619,0.10000000149011612,0.38752120733261108,0.12721040844917297,4.5000004320172593E-05,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor,Read:ReadFlows:12|Transform:ConsumeBiomass:0.0828346163|Absorb:HarvestDryBiomass:0.119999997|Absorb:CaptureDust:0.0450000018
1,10,ReturnMinerals,DepositionZone,174,157,178,157,4,10,1,1,0.0043434710241854191,0.0043434710241854191,0.10526487976312637,0.10526487976312637,1,0.048901826143264771,0.10000000149011612,0.34670078754425049,0,0,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor,Read:ReadFlows:12|Migrate:Move:4|Migrate:CompactTrail:0.00120000448|Transform:ConsumeBiomass:0.10526488|Transform:ConsumeBiomass:0.0555555522|Absorb:CollectSnow:0.00999999978|Transform:MeltSnow:0.00999999978|Absorb:HarvestDryBiomass:0.119999997|Absorb:CaptureDust:0.0450000018|Return:ReturnOrganicMatter:0.167561829|Return:ReturnSediment:9.00000086E-05
